,open,close,high,low,trade value,turnover,return
0,31.01,31.23,31.59,31.0,16402.0,0.7529,0.0
1,31.12,32.73,32.79,31.12,22097.0,0.9871,0.04803073967339078
2,32.86,33.43,33.7,32.86,25293.0,1.0943,0.021387106630003094
3,33.31,33.41,33.7,32.65,30614.0,1.3103,-0.0005982650314090288
4,33.48,34.0,34.07,33.33,23402.0,0.9949,0.01765938341813844
5,34.1,32.5,34.1,32.3,23830.0,1.0197,-0.044117647058823484
6,32.24,32.89,32.98,32.03,16934.0,0.7502,0.01200000000000001
7,33.23,34.22,34.32,33.23,36807.0,1.5513,0.04043782304651855
8,34.22,35.79,36.14,33.93,71681.0,2.9007,0.04587960257159551
9,35.34,35.06,35.84,34.73,29112.0,1.1756,-0.020396758871192966
10,34.86,35.32,35.77,34.72,21180.0,0.8562,0.00741585852823734
11,34.72,35.91,35.98,34.72,15425.0,0.6188,0.01670441676104173
12,35.88,34.86,36.02,34.84,22429.0,0.8999,-0.029239766081871288
13,35.34,35.86,36.39,35.09,90695.0,3.6184,0.028686173264486525
14,35.96,35.96,36.15,35.61,23508.0,0.9395,0.002788622420524245
15,35.96,35.94,36.14,35.71,25043.0,0.9994,-0.0005561735261402356
16,35.81,34.95,35.94,34.84,26274.0,1.0699,-0.027545909849749473
17,34.72,34.51,35.46,34.29,36393.0,1.4941,-0.012589413447782638
18,34.57,34.89,35.2,34.32,16137.0,0.6679,0.01101130107215309
19,34.94,34.43,35.08,34.37,8054.7,0.3342,-0.013184293493837762
20,34.72,34.24,34.72,33.97,12391.0,0.5188,-0.00551844321812367
21,34.33,34.27,34.96,34.1,6196.7,0.2579,0.0008761682242990343
22,34.34,34.58,34.84,34.17,7068.3,0.2926,0.00904581266413751
23,34.58,35.52,35.58,34.58,11599.0,0.4718,0.02718334297281677
24,35.65,35.39,35.65,35.35,20709.0,0.8364,-0.003659909909909942
25,35.39,36.07,36.51,35.01,28086.0,1.1216,0.019214467363662058
26,36.08,35.71,36.14,35.56,17792.0,0.7115,-0.009980593290823347
27,35.47,35.62,35.81,35.24,9294.6,0.3764,-0.002520302436292421
28,35.89,34.72,35.93,34.62,11943.0,0.4894,-0.025266704098820814
29,34.57,35.0,35.2,34.17,22993.0,0.9531,0.008064516129032251
30,35.03,33.87,35.65,33.85,15652.0,0.6468,-0.03228571428571436
31,33.97,35.03,35.06,33.72,28613.0,1.1921,0.03424859757897858
32,35.06,35.21,35.24,34.41,12480.0,0.5122,0.005138452754781531
33,35.15,35.37,35.43,34.73,8324.6,0.3396,0.004544163589889072
34,34.96,38.6,38.91,34.96,75299.0,2.9114,0.09132032796154954
35,38.66,38.05,39.18,37.68,76280.0,2.8505,-0.014248704663212597
36,37.91,37.84,38.19,37.52,17430.0,0.6609999999999999,-0.005519053876478108
37,37.94,37.96,38.68,37.57,12628.0,0.4759,0.003171247357293794
38,37.94,37.31,38.44,36.82,19125.0,0.7314,-0.017123287671232834
39,37.32,37.07,37.57,36.89,13475.0,0.5192,-0.006432591798445464
40,36.85,37.62,37.69,36.85,9368.6,0.3603,0.014836795252225476
